,Location1,Location,WindGustDir1,WindGustDir,WindDir9am1,WindDir9am,WindDir3pm1,WindDir3pm
12252,21,Moree,12,SW,8,S,11,SSW
12253,21,Moree,3,N,1,ENE,3,N
12254,21,Moree,0,E,9,SE,16,
12255,21,Moree,2,ESE,2,ESE,9,SE
12256,21,Moree,9,SE,8,S,9,SE
12258,21,Moree,0,E,0,E,4,NE
12259,21,Moree,3,N,5,NNE,3,N
12260,21,Moree,15,WSW,14,WNW,12,SW
12261,21,Moree,14,WNW,3,N,14,WNW
12263,21,Moree,12,SW,15,WSW,11,SSW
12264,21,Moree,12,SW,13,W,12,SW
12265,21,Moree,6,NNW,1,ENE,6,NNW
12267,21,Moree,1,ENE,0,E,5,NNE
12268,21,Moree,6,NNW,3,N,6,NNW
12269,21,Moree,5,NNE,5,NNE,7,NW
12270,21,Moree,13,W,12,SW,15,WSW
12271,21,Moree,8,S,8,S,2,ESE
12272,21,Moree,0,E,0,E,3,N
12275,21,Moree,8,S,8,S,11,SSW
12276,21,Moree,11,SSW,11,SSW,12,SW
12277,21,Moree,12,SW,16,,11,SSW
12278,21,Moree,11,SSW,16,,12,SW
12280,21,Moree,4,NE,4,NE,7,NW
12282,21,Moree,15,WSW,1,ENE,13,W
12283,21,Moree,1,ENE,2,ESE,15,WSW
12284,21,Moree,5,NNE,1,ENE,7,NW
12285,21,Moree,11,SSW,5,NNE,13,W
12292,21,Moree,12,SW,16,,12,SW
12296,21,Moree,10,SSE,9,SE,14,WNW
12299,21,Moree,6,NNW,5,NNE,6,NNW
12300,21,Moree,1,ENE,13,W,15,WSW
12301,21,Moree,14,WNW,1,ENE,14,WNW
12302,21,Moree,7,NW,6,NNW,15,WSW
12303,21,Moree,15,WSW,15,WSW,14,WNW
12304,21,Moree,11,SSW,11,SSW,13,W
12305,21,Moree,5,NNE,0,E,12,SW
12306,21,Moree,1,ENE,1,ENE,5,NNE
12307,21,Moree,13,W,5,NNE,14,WNW
12308,21,Moree,12,SW,12,SW,14,WNW
12309,21,Moree,12,SW,8,S,12,SW
12310,21,Moree,8,S,16,,8,S
12311,21,Moree,5,NNE,5,NNE,4,NE
12313,21,Moree,1,ENE,4,NE,3,N
12314,21,Moree,12,SW,7,NW,15,WSW
12315,21,Moree,6,NNW,4,NE,3,N
12317,21,Moree,14,WNW,13,W,15,WSW
12318,21,Moree,13,W,13,W,13,W
12319,21,Moree,14,WNW,6,NNW,13,W
12320,21,Moree,8,S,1,ENE,14,WNW
12321,21,Moree,1,ENE,4,NE,4,NE
12327,21,Moree,15,WSW,6,NNW,13,W
12329,21,Moree,13,W,0,E,14,WNW
12330,21,Moree,1,ENE,4,NE,11,SSW
12331,21,Moree,0,E,4,NE,0,E
12333,21,Moree,15,WSW,11,SSW,13,W
12334,21,Moree,7,NW,5,NNE,3,N
12335,21,Moree,13,W,15,WSW,15,WSW
12336,21,Moree,15,WSW,12,SW,13,W
12337,21,Moree,15,WSW,12,SW,15,WSW
12338,21,Moree,13,W,8,S,12,SW
12339,21,Moree,6,NNW,4,NE,4,NE
12341,21,Moree,14,WNW,5,NNE,7,NW
12343,21,Moree,6,NNW,16,,14,WNW
12344,21,Moree,15,WSW,6,NNW,15,WSW
12345,21,Moree,12,SW,0,E,15,WSW
12346,21,Moree,13,W,11,SSW,15,WSW
12347,21,Moree,15,WSW,11,SSW,15,WSW
12348,21,Moree,11,SSW,2,ESE,11,SSW
12349,21,Moree,1,ENE,0,E,11,SSW
12351,21,Moree,15,WSW,5,NNE,3,N
12352,21,Moree,7,NW,15,WSW,13,W
12353,21,Moree,14,WNW,13,W,13,W
12354,21,Moree,13,W,15,WSW,13,W
12356,21,Moree,10,SSE,8,S,15,WSW
12357,21,Moree,4,NE,4,NE,13,W
12358,21,Moree,5,NNE,5,NNE,12,SW
12359,21,Moree,5,NNE,5,NNE,1,ENE
12360,21,Moree,5,NNE,3,N,0,E
12361,21,Moree,5,NNE,3,N,13,W
12362,21,Moree,12,SW,3,N,3,N
12363,21,Moree,12,SW,3,N,12,SW
12364,21,Moree,11,SSW,1,ENE,13,W
12365,21,Moree,11,SSW,8,S,12,SW
12370,21,Moree,10,SSE,5,NNE,2,ESE
12371,21,Moree,4,NE,4,NE,8,S
12372,21,Moree,1,ENE,5,NNE,9,SE
12375,21,Moree,12,SW,9,SE,11,SSW
12376,21,Moree,0,E,1,ENE,4,NE
12379,21,Moree,8,S,0,E,8,S
12380,21,Moree,1,ENE,0,E,10,SSE
12381,21,Moree,11,SSW,3,N,9,SE
12382,21,Moree,11,SSW,5,NNE,11,SSW
12383,21,Moree,8,S,5,NNE,12,SW
12384,21,Moree,5,NNE,4,NE,10,SSE
12385,21,Moree,4,NE,5,NNE,8,S
12386,21,Moree,15,WSW,5,NNE,15,WSW
12388,21,Moree,12,SW,3,N,11,SSW
12389,21,Moree,4,NE,4,NE,0,E
12392,21,Moree,5,NNE,5,NNE,14,WNW
12393,21,Moree,12,SW,3,N,4,NE
12394,21,Moree,5,NNE,4,NE,4,NE
12397,21,Moree,7,NW,6,NNW,7,NW
12398,21,Moree,7,NW,3,N,13,W
12399,21,Moree,7,NW,15,WSW,14,WNW
12400,21,Moree,11,SSW,12,SW,11,SSW
12401,21,Moree,2,ESE,0,E,12,SW
12402,21,Moree,9,SE,0,E,8,S
12403,21,Moree,1,ENE,1,ENE,13,W
12404,21,Moree,5,NNE,3,N,6,NNW
12405,21,Moree,15,WSW,3,N,14,WNW
12406,21,Moree,13,W,0,E,13,W
12408,21,Moree,14,WNW,3,N,7,NW
12410,21,Moree,16,,5,NNE,12,SW
12413,21,Moree,12,SW,0,E,14,WNW
12414,21,Moree,4,NE,4,NE,10,SSE
12415,21,Moree,1,ENE,3,N,6,NNW
12418,21,Moree,11,SSW,3,N,6,NNW
12419,21,Moree,3,N,13,W,13,W
12420,21,Moree,4,NE,5,NNE,4,NE
12421,21,Moree,6,NNW,5,NNE,1,ENE
12422,21,Moree,2,ESE,2,ESE,4,NE
12423,21,Moree,4,NE,4,NE,1,ENE
12425,21,Moree,4,NE,5,NNE,5,NNE
12428,21,Moree,11,SSW,4,NE,5,NNE
12429,21,Moree,1,ENE,2,ESE,9,SE
12430,21,Moree,5,NNE,1,ENE,1,ENE
12433,21,Moree,3,N,3,N,3,N
12434,21,Moree,11,SSW,16,,11,SSW
12436,21,Moree,4,NE,1,ENE,8,S
12437,21,Moree,10,SSE,3,N,9,SE
12438,21,Moree,10,SSE,4,NE,14,WNW
12439,21,Moree,4,NE,0,E,2,ESE
12440,21,Moree,4,NE,0,E,5,NNE
12443,21,Moree,5,NNE,3,N,5,NNE
12444,21,Moree,11,SSW,5,NNE,2,ESE
12445,21,Moree,16,,4,NE,3,N
12446,21,Moree,1,ENE,4,NE,5,NNE
12447,21,Moree,12,SW,5,NNE,14,WNW
12448,21,Moree,11,SSW,3,N,13,W
12451,21,Moree,12,SW,5,NNE,15,WSW
12457,21,Moree,3,N,5,NNE,5,NNE
12458,21,Moree,8,S,5,NNE,1,ENE
12459,21,Moree,16,,5,NNE,3,N
12460,21,Moree,16,,16,,16,
12467,21,Moree,16,,4,NE,4,NE
12468,21,Moree,16,,4,NE,6,NNW
12469,21,Moree,5,NNE,0,E,1,ENE
12471,21,Moree,4,NE,0,E,1,ENE
12473,21,Moree,16,,5,NNE,5,NNE
12474,21,Moree,6,NNW,3,N,7,NW
12476,21,Moree,15,WSW,3,N,3,N
12477,21,Moree,6,NNW,3,N,11,SSW
12478,21,Moree,11,SSW,8,S,15,WSW
12479,21,Moree,8,S,0,E,11,SSW
12480,21,Moree,1,ENE,1,ENE,11,SSW
12481,21,Moree,1,ENE,1,ENE,9,SE
12485,21,Moree,12,SW,3,N,15,WSW
12486,21,Moree,16,,1,ENE,7,NW
12487,21,Moree,16,,0,E,0,E
12491,21,Moree,0,E,2,ESE,2,ESE
12492,21,Moree,2,ESE,9,SE,2,ESE
12493,21,Moree,0,E,9,SE,1,ENE
12495,21,Moree,1,ENE,13,W,1,ENE
12497,21,Moree,4,NE,1,ENE,3,N
12499,21,Moree,13,W,8,S,7,NW
12505,21,Moree,11,SSW,2,ESE,0,E
12507,21,Moree,4,NE,9,SE,1,ENE
12512,21,Moree,9,SE,5,NNE,2,ESE
12513,21,Moree,13,W,4,NE,13,W
12516,21,Moree,5,NNE,5,NNE,11,SSW
12519,21,Moree,5,NNE,4,NE,6,NNW
12521,21,Moree,12,SW,15,WSW,12,SW
12522,21,Moree,11,SSW,9,SE,12,SW
12523,21,Moree,1,ENE,0,E,12,SW
12524,21,Moree,3,N,1,ENE,4,NE
12525,21,Moree,0,E,1,ENE,10,SSE
12528,21,Moree,5,NNE,5,NNE,2,ESE
12529,21,Moree,11,SSW,3,N,12,SW
12530,21,Moree,12,SW,9,SE,15,WSW
12532,21,Moree,13,W,5,NNE,12,SW
12533,21,Moree,15,WSW,8,S,12,SW
12535,21,Moree,4,NE,5,NNE,10,SSE
12536,21,Moree,5,NNE,5,NNE,9,SE
12542,21,Moree,3,N,0,E,9,SE
12543,21,Moree,1,ENE,1,ENE,2,ESE
12544,21,Moree,4,NE,5,NNE,12,SW
12545,21,Moree,6,NNW,3,N,3,N
12546,21,Moree,12,SW,6,NNW,12,SW
12547,21,Moree,10,SSE,10,SSE,11,SSW
12553,21,Moree,3,N,4,NE,1,ENE
12554,21,Moree,0,E,1,ENE,9,SE
12555,21,Moree,2,ESE,1,ENE,10,SSE
12556,21,Moree,15,WSW,6,NNW,12,SW
12558,21,Moree,15,WSW,4,NE,15,WSW
12559,21,Moree,4,NE,1,ENE,6,NNW
12560,21,Moree,1,ENE,1,ENE,8,S
12561,21,Moree,0,E,4,NE,3,N
12562,21,Moree,14,WNW,3,N,12,SW
12564,21,Moree,16,,8,S,12,SW
12566,21,Moree,12,SW,1,ENE,11,SSW
12567,21,Moree,0,E,0,E,5,NNE
12568,21,Moree,1,ENE,15,WSW,2,ESE
12570,21,Moree,10,SSE,8,S,11,SSW
12571,21,Moree,7,NW,1,ENE,6,NNW
12572,21,Moree,11,SSW,1,ENE,11,SSW
12573,21,Moree,8,S,9,SE,12,SW
12574,21,Moree,4,NE,0,E,0,E
12577,21,Moree,13,W,13,W,15,WSW
12578,21,Moree,15,WSW,8,S,11,SSW
12579,21,Moree,4,NE,1,ENE,4,NE
12580,21,Moree,3,N,6,NNW,14,WNW
12581,21,Moree,15,WSW,7,NW,7,NW
12582,21,Moree,7,NW,7,NW,12,SW
12583,21,Moree,13,W,4,NE,7,NW
12584,21,Moree,8,S,1,ENE,11,SSW
12585,21,Moree,8,S,12,SW,8,S
12591,21,Moree,14,WNW,3,N,15,WSW
12596,21,Moree,1,ENE,16,,1,ENE
12599,21,Moree,3,N,5,NNE,14,WNW
12602,21,Moree,15,WSW,13,W,15,WSW
12603,21,Moree,2,ESE,4,NE,12,SW
12606,21,Moree,1,ENE,0,E,4,NE
12608,21,Moree,11,SSW,7,NW,4,NE
12610,21,Moree,14,WNW,4,NE,12,SW
12611,21,Moree,11,SSW,0,E,11,SSW
12612,21,Moree,11,SSW,9,SE,11,SSW
12614,21,Moree,2,ESE,2,ESE,1,ENE
12618,21,Moree,13,W,6,NNW,13,W
12620,21,Moree,9,SE,8,S,12,SW
12621,21,Moree,9,SE,2,ESE,10,SSE
12623,21,Moree,3,N,4,NE,3,N
12624,21,Moree,3,N,3,N,6,NNW
12626,21,Moree,6,NNW,7,NW,13,W
12627,21,Moree,11,SSW,15,WSW,12,SW
12628,21,Moree,12,SW,11,SSW,15,WSW
12630,21,Moree,3,N,4,NE,6,NNW
12631,21,Moree,15,WSW,5,NNE,0,E
12634,21,Moree,11,SSW,8,S,8,S
12637,21,Moree,3,N,4,NE,11,SSW
12638,21,Moree,11,SSW,0,E,8,S
12643,21,Moree,15,WSW,7,NW,15,WSW
12644,21,Moree,12,SW,16,,13,W
12647,21,Moree,14,WNW,16,,8,S
12654,21,Moree,7,NW,14,WNW,14,WNW
12655,21,Moree,16,,13,W,15,WSW
12660,21,Moree,8,S,0,E,10,SSE
12669,21,Moree,7,NW,7,NW,14,WNW
12670,21,Moree,15,WSW,14,WNW,15,WSW
12673,21,Moree,7,NW,5,NNE,8,S
12677,21,Moree,14,WNW,1,ENE,4,NE
12681,21,Moree,12,SW,0,E,11,SSW
12682,21,Moree,0,E,0,E,11,SSW
12686,21,Moree,0,E,4,NE,4,NE
12687,21,Moree,0,E,0,E,12,SW
12688,21,Moree,7,NW,4,NE,6,NNW
12691,21,Moree,8,S,8,S,15,WSW
12692,21,Moree,12,SW,1,ENE,15,WSW
12693,21,Moree,8,S,4,NE,5,NNE
12695,21,Moree,0,E,4,NE,12,SW
12698,21,Moree,11,SSW,1,ENE,16,
12700,21,Moree,0,E,4,NE,13,W
12701,21,Moree,15,WSW,3,N,2,ESE
12702,21,Moree,11,SSW,5,NNE,12,SW
12708,21,Moree,0,E,2,ESE,8,S
12709,21,Moree,2,ESE,2,ESE,12,SW
12710,21,Moree,2,ESE,0,E,1,ENE
12712,21,Moree,12,SW,11,SSW,7,NW
12713,21,Moree,0,E,0,E,2,ESE
12723,21,Moree,15,WSW,3,N,8,S
12726,21,Moree,10,SSE,5,NNE,7,NW
12727,21,Moree,0,E,5,NNE,15,WSW
12728,21,Moree,12,SW,11,SSW,0,E
12729,21,Moree,13,W,2,ESE,14,WNW
12730,21,Moree,0,E,4,NE,9,SE
12731,21,Moree,12,SW,4,NE,7,NW
12735,21,Moree,6,NNW,5,NNE,14,WNW
12737,21,Moree,15,WSW,11,SSW,12,SW
12741,21,Moree,7,NW,1,ENE,4,NE
12746,21,Moree,16,,5,NNE,10,SSE
12747,21,Moree,7,NW,4,NE,4,NE
12752,21,Moree,11,SSW,7,NW,8,S
12753,21,Moree,2,ESE,4,NE,5,NNE
12754,21,Moree,2,ESE,12,SW,8,S
12756,21,Moree,1,ENE,0,E,6,NNW
12759,21,Moree,4,NE,1,ENE,1,ENE
12771,21,Moree,2,ESE,1,ENE,0,E
12776,21,Moree,10,SSE,12,SW,15,WSW
12777,21,Moree,13,W,4,NE,14,WNW
12778,21,Moree,15,WSW,1,ENE,15,WSW
12780,21,Moree,5,NNE,5,NNE,15,WSW
12781,21,Moree,3,N,0,E,8,S
12783,21,Moree,11,SSW,11,SSW,11,SSW
12786,21,Moree,8,S,10,SSE,8,S
12790,21,Moree,4,NE,2,ESE,5,NNE
12795,21,Moree,1,ENE,3,N,11,SSW
12796,21,Moree,10,SSE,3,N,2,ESE
12797,21,Moree,4,NE,5,NNE,2,ESE
12799,21,Moree,9,SE,6,NNW,2,ESE
12801,21,Moree,4,NE,3,N,12,SW
12802,21,Moree,2,ESE,11,SSW,9,SE
12809,21,Moree,5,NNE,4,NE,1,ENE
12811,21,Moree,16,,5,NNE,0,E
12814,21,Moree,15,WSW,8,S,13,W
12818,21,Moree,9,SE,3,N,8,S
12822,21,Moree,4,NE,5,NNE,1,ENE
12823,21,Moree,15,WSW,5,NNE,7,NW
12824,21,Moree,4,NE,0,E,8,S
12826,21,Moree,5,NNE,0,E,4,NE
12827,21,Moree,5,NNE,5,NNE,0,E
12831,21,Moree,4,NE,3,N,4,NE
12836,21,Moree,4,NE,0,E,10,SSE
12837,21,Moree,4,NE,0,E,9,SE
12838,21,Moree,4,NE,5,NNE,11,SSW
12839,21,Moree,0,E,5,NNE,9,SE
12840,21,Moree,12,SW,5,NNE,3,N
12841,21,Moree,9,SE,0,E,9,SE
12845,21,Moree,0,E,5,NNE,1,ENE
12847,21,Moree,12,SW,5,NNE,13,W
12850,21,Moree,2,ESE,2,ESE,8,S
12854,21,Moree,7,NW,5,NNE,5,NNE
12855,21,Moree,7,NW,3,N,3,N
12856,21,Moree,11,SSW,5,NNE,14,WNW
12857,21,Moree,0,E,1,ENE,3,N
12858,21,Moree,12,SW,5,NNE,6,NNW
12860,21,Moree,1,ENE,9,SE,0,E
12870,21,Moree,4,NE,5,NNE,0,E
12871,21,Moree,4,NE,5,NNE,7,NW
12872,21,Moree,6,NNW,5,NNE,13,W
12873,21,Moree,7,NW,4,NE,14,WNW
12876,21,Moree,15,WSW,4,NE,5,NNE
12878,21,Moree,14,WNW,12,SW,14,WNW
12881,21,Moree,4,NE,12,SW,1,ENE
12891,21,Moree,12,SW,12,SW,10,SSE
12892,21,Moree,12,SW,5,NNE,11,SSW
12895,21,Moree,15,WSW,3,N,11,SSW
12899,21,Moree,15,WSW,14,WNW,13,W
12901,21,Moree,2,ESE,9,SE,10,SSE
12902,21,Moree,15,WSW,2,ESE,12,SW
12903,21,Moree,16,,1,ENE,2,ESE
12915,21,Moree,1,ENE,1,ENE,14,WNW
12916,21,Moree,8,S,15,WSW,10,SSE
12917,21,Moree,10,SSE,1,ENE,10,SSE
12918,21,Moree,10,SSE,8,S,8,S
12919,21,Moree,9,SE,9,SE,10,SSE
12922,21,Moree,14,WNW,4,NE,13,W
12924,21,Moree,15,WSW,0,E,13,W
12925,21,Moree,12,SW,14,WNW,15,WSW
12928,21,Moree,2,ESE,10,SSE,8,S
12929,21,Moree,9,SE,8,S,10,SSE
12930,21,Moree,8,S,11,SSW,11,SSW
12932,21,Moree,11,SSW,1,ENE,0,E
12937,21,Moree,14,WNW,4,NE,15,WSW
12938,21,Moree,12,SW,5,NNE,7,NW
12939,21,Moree,11,SSW,13,W,12,SW
12941,21,Moree,3,N,16,,16,
12942,21,Moree,1,ENE,1,ENE,6,NNW
12946,21,Moree,0,E,2,ESE,1,ENE
12947,21,Moree,2,ESE,10,SSE,9,SE
12948,21,Moree,2,ESE,9,SE,8,S
12951,21,Moree,5,NNE,4,NE,14,WNW
12953,21,Moree,15,WSW,14,WNW,14,WNW
12957,21,Moree,12,SW,10,SSE,15,WSW
12960,21,Moree,4,NE,4,NE,11,SSW
12961,21,Moree,12,SW,11,SSW,8,S
12965,21,Moree,15,WSW,2,ESE,15,WSW
12966,21,Moree,15,WSW,15,WSW,12,SW
12972,21,Moree,10,SSE,4,NE,13,W
12974,21,Moree,15,WSW,10,SSE,12,SW
12975,21,Moree,5,NNE,0,E,5,NNE
12976,21,Moree,0,E,1,ENE,1,ENE
12978,21,Moree,0,E,1,ENE,13,W
12981,21,Moree,1,ENE,5,NNE,11,SSW
12987,21,Moree,12,SW,13,W,15,WSW
12988,21,Moree,13,W,3,N,14,WNW
12990,21,Moree,8,S,2,ESE,15,WSW
12992,21,Moree,5,NNE,4,NE,12,SW
12998,21,Moree,2,ESE,2,ESE,10,SSE
12999,21,Moree,1,ENE,9,SE,8,S
13000,21,Moree,10,SSE,8,S,2,ESE
13001,21,Moree,9,SE,10,SSE,10,SSE
13006,21,Moree,1,ENE,15,WSW,15,WSW
13007,21,Moree,6,NNW,5,NNE,3,N
13009,21,Moree,3,N,4,NE,12,SW
13011,21,Moree,2,ESE,1,ENE,9,SE
13017,21,Moree,12,SW,1,ENE,0,E
13022,21,Moree,7,NW,4,NE,15,WSW
13025,21,Moree,15,WSW,5,NNE,13,W
13027,21,Moree,14,WNW,6,NNW,14,WNW
13029,21,Moree,6,NNW,3,N,15,WSW
13032,21,Moree,5,NNE,3,N,11,SSW
13034,21,Moree,13,W,11,SSW,12,SW
13042,21,Moree,9,SE,9,SE,13,W
13046,21,Moree,0,E,1,ENE,15,WSW
13048,21,Moree,12,SW,7,NW,13,W
13049,21,Moree,6,NNW,4,NE,14,WNW
13054,21,Moree,10,SSE,4,NE,11,SSW
13057,21,Moree,1,ENE,0,E,9,SE
13058,21,Moree,0,E,1,ENE,2,ESE
13059,21,Moree,4,NE,4,NE,2,ESE
13065,21,Moree,6,NNW,4,NE,6,NNW
13069,21,Moree,12,SW,6,NNW,15,WSW
13070,21,Moree,8,S,11,SSW,8,S
13080,21,Moree,3,N,9,SE,2,ESE
13081,21,Moree,5,NNE,9,SE,4,NE
13083,21,Moree,8,S,5,NNE,6,NNW
13088,21,Moree,1,ENE,4,NE,6,NNW
13096,21,Moree,7,NW,14,WNW,3,N
13098,21,Moree,0,E,0,E,14,WNW
13101,21,Moree,11,SSW,11,SSW,9,SE
13103,21,Moree,0,E,4,NE,2,ESE
13104,21,Moree,5,NNE,5,NNE,13,W
13107,21,Moree,0,E,10,SSE,9,SE
13108,21,Moree,2,ESE,0,E,14,WNW
13110,21,Moree,4,NE,5,NNE,13,W
13111,21,Moree,7,NW,3,N,6,NNW
13112,21,Moree,8,S,11,SSW,15,WSW
13114,21,Moree,8,S,16,,12,SW
13116,21,Moree,4,NE,4,NE,9,SE
13119,21,Moree,11,SSW,5,NNE,5,NNE
13120,21,Moree,3,N,5,NNE,8,S
13121,21,Moree,0,E,5,NNE,3,N
13122,21,Moree,0,E,4,NE,5,NNE
13123,21,Moree,11,SSW,1,ENE,7,NW
13124,21,Moree,10,SSE,0,E,11,SSW
13125,21,Moree,9,SE,0,E,4,NE
13130,21,Moree,8,S,0,E,2,ESE
13131,21,Moree,0,E,1,ENE,11,SSW
13136,21,Moree,13,W,0,E,15,WSW
13137,21,Moree,8,S,1,ENE,12,SW
13141,21,Moree,11,SSW,15,WSW,15,WSW
13145,21,Moree,2,ESE,4,NE,1,ENE
13148,21,Moree,4,NE,9,SE,9,SE
13149,21,Moree,11,SSW,9,SE,8,S
13150,21,Moree,11,SSW,1,ENE,9,SE
13151,21,Moree,12,SW,1,ENE,10,SSE
13154,21,Moree,5,NNE,2,ESE,3,N
13156,21,Moree,16,,0,E,2,ESE
13162,21,Moree,7,NW,3,N,0,E
13164,21,Moree,2,ESE,9,SE,0,E
13165,21,Moree,1,ENE,4,NE,14,WNW
13167,21,Moree,16,,0,E,7,NW
13170,21,Moree,13,W,16,,13,W
13175,21,Moree,12,SW,1,ENE,14,WNW
13176,21,Moree,4,NE,1,ENE,13,W
13178,21,Moree,11,SSW,4,NE,6,NNW
13179,21,Moree,5,NNE,4,NE,15,WSW
13180,21,Moree,1,ENE,4,NE,12,SW
13182,21,Moree,8,S,3,N,6,NNW
13184,21,Moree,8,S,1,ENE,7,NW
13185,21,Moree,6,NNW,0,E,5,NNE
13186,21,Moree,2,ESE,0,E,0,E
13193,21,Moree,0,E,4,NE,14,WNW
13196,21,Moree,12,SW,3,N,14,WNW
13197,21,Moree,0,E,2,ESE,5,NNE
13198,21,Moree,8,S,9,SE,8,S
13199,21,Moree,15,WSW,2,ESE,13,W
13202,21,Moree,3,N,0,E,5,NNE
13210,21,Moree,2,ESE,9,SE,9,SE
13213,21,Moree,16,,10,SSE,9,SE
13216,21,Moree,5,NNE,0,E,7,NW
13217,21,Moree,4,NE,5,NNE,6,NNW
13219,21,Moree,10,SSE,1,ENE,14,WNW
13221,21,Moree,8,S,1,ENE,13,W
13223,21,Moree,10,SSE,1,ENE,8,S
13225,21,Moree,11,SSW,4,NE,8,S
13226,21,Moree,0,E,5,NNE,5,NNE
13237,21,Moree,11,SSW,1,ENE,5,NNE
13239,21,Moree,9,SE,16,,2,ESE
13241,21,Moree,3,N,0,E,6,NNW
13242,21,Moree,1,ENE,5,NNE,12,SW
13243,21,Moree,0,E,4,NE,7,NW
13244,21,Moree,0,E,4,NE,16,
13245,21,Moree,15,WSW,9,SE,3,N
13246,21,Moree,12,SW,6,NNW,13,W
13254,21,Moree,15,WSW,1,ENE,6,NNW
13255,21,Moree,8,S,7,NW,10,SSE
13256,21,Moree,15,WSW,16,,12,SW
13261,21,Moree,12,SW,0,E,12,SW
13269,21,Moree,1,ENE,0,E,14,WNW
13271,21,Moree,0,E,1,ENE,14,WNW
13277,21,Moree,3,N,11,SSW,13,W
13280,21,Moree,9,SE,10,SSE,11,SSW
13281,21,Moree,0,E,2,ESE,12,SW
13282,21,Moree,2,ESE,2,ESE,0,E
13284,21,Moree,0,E,2,ESE,10,SSE
13286,21,Moree,15,WSW,11,SSW,11,SSW
13288,21,Moree,14,WNW,7,NW,14,WNW
13289,21,Moree,11,SSW,12,SW,10,SSE
13290,21,Moree,9,SE,10,SSE,7,NW
13291,21,Moree,0,E,0,E,13,W
13293,21,Moree,9,SE,2,ESE,9,SE
13294,21,Moree,9,SE,8,S,2,ESE
13296,21,Moree,9,SE,10,SSE,8,S
13301,21,Moree,11,SSW,12,SW,15,WSW
13306,21,Moree,8,S,11,SSW,12,SW
13309,21,Moree,0,E,2,ESE,3,N
13311,21,Moree,9,SE,11,SSW,2,ESE
13312,21,Moree,14,WNW,16,,12,SW
13313,21,Moree,15,WSW,1,ENE,14,WNW
13320,21,Moree,9,SE,2,ESE,11,SSW
13325,21,Moree,16,,1,ENE,3,N
13327,21,Moree,14,WNW,7,NW,7,NW
13329,21,Moree,11,SSW,11,SSW,16,
13330,21,Moree,2,ESE,2,ESE,14,WNW
13334,21,Moree,11,SSW,11,SSW,8,S
13335,21,Moree,2,ESE,11,SSW,10,SSE
13339,21,Moree,16,,3,N,3,N
13345,21,Moree,11,SSW,4,NE,13,W
13346,21,Moree,12,SW,14,WNW,12,SW
13347,21,Moree,13,W,5,NNE,13,W
13352,21,Moree,15,WSW,4,NE,14,WNW
13361,21,Moree,7,NW,3,N,7,NW
13363,21,Moree,15,WSW,13,W,12,SW
13369,21,Moree,14,WNW,5,NNE,14,WNW
13370,21,Moree,12,SW,13,W,11,SSW
13371,21,Moree,4,NE,16,,11,SSW
13372,21,Moree,5,NNE,4,NE,7,NW
13374,21,Moree,5,NNE,3,N,15,WSW
13378,21,Moree,11,SSW,4,NE,11,SSW
13382,21,Moree,12,SW,13,W,13,W
13386,21,Moree,1,ENE,3,N,16,
13387,21,Moree,5,NNE,3,N,7,NW
13388,21,Moree,11,SSW,3,N,14,WNW
13390,21,Moree,5,NNE,2,ESE,9,SE
13394,21,Moree,13,W,3,N,15,WSW
13396,21,Moree,15,WSW,2,ESE,10,SSE
13402,21,Moree,16,,5,NNE,4,NE
13404,21,Moree,3,N,4,NE,7,NW
13406,21,Moree,14,WNW,0,E,13,W
13409,21,Moree,3,N,5,NNE,7,NW
13410,21,Moree,6,NNW,3,N,13,W
13412,21,Moree,13,W,12,SW,12,SW
13413,21,Moree,5,NNE,1,ENE,13,W
13415,21,Moree,14,WNW,4,NE,14,WNW
13416,21,Moree,14,WNW,6,NNW,12,SW
13418,21,Moree,15,WSW,7,NW,12,SW
13422,21,Moree,14,WNW,3,N,6,NNW
13423,21,Moree,16,,0,E,14,WNW
13426,21,Moree,8,S,3,N,4,NE
13429,21,Moree,10,SSE,0,E,8,S
13443,21,Moree,13,W,5,NNE,3,N
13445,21,Moree,15,WSW,10,SSE,6,NNW
13449,21,Moree,4,NE,3,N,6,NNW
13452,21,Moree,8,S,6,NNW,13,W
13457,21,Moree,0,E,4,NE,10,SSE
13458,21,Moree,12,SW,5,NNE,12,SW
13463,21,Moree,2,ESE,3,N,6,NNW
13464,21,Moree,2,ESE,3,N,7,NW
13465,21,Moree,4,NE,5,NNE,14,WNW
13467,21,Moree,4,NE,3,N,3,N
13470,21,Moree,1,ENE,5,NNE,6,NNW
13476,21,Moree,1,ENE,4,NE,13,W
13479,21,Moree,16,,16,,3,N
13488,21,Moree,8,S,5,NNE,5,NNE
13491,21,Moree,4,NE,2,ESE,1,ENE
13494,21,Moree,0,E,8,S,8,S
13496,21,Moree,9,SE,0,E,14,WNW
13500,21,Moree,2,ESE,10,SSE,2,ESE
13507,21,Moree,9,SE,2,ESE,2,ESE
13510,21,Moree,10,SSE,0,E,9,SE
13511,21,Moree,9,SE,5,NNE,11,SSW
13512,21,Moree,12,SW,4,NE,8,S
13530,21,Moree,15,WSW,10,SSE,15,WSW
13535,21,Moree,10,SSE,1,ENE,1,ENE
13536,21,Moree,8,S,0,E,12,SW
13537,21,Moree,10,SSE,2,ESE,12,SW
13539,21,Moree,12,SW,0,E,0,E
13542,21,Moree,13,W,1,ENE,7,NW
13543,21,Moree,14,WNW,1,ENE,6,NNW
